,filename,text,duration
4338,043014,و ما به سوی پروردگارمان بازمی‌گردیم!»,4.232
4351,043027,مگر آن کسی که مرا آفریده، که او هدایتم خواهد کرد!»,5.538
4391,043067,دوستان در آن روز دشمن یکدیگرند، مگر پرهیزگاران!,5.851
4393,043069,همان کسانی که به آیات ما ایمان آوردند و تسلیم بودند.,5.695
4398,043074,(ولی) مجرمان در عذاب دوزخ جاودانه می‌مانند.,5.486
4400,043076,ما به آنها ستم نکردیم، آنان خود ستمکار بودند!,5.068
4415,044002,سوگند به این کتاب روشنگر،,2.926
4422,044009,ولی آنها در شکند و (با حقایق) بازی می‌کنند.,5.747
4424,044011,که همه مردم را فرامی‌گیرد؛ این عذاب دردناکی است!,5.642
4439,044026,و زراعتها و قصرهای زیبا و گرانقیمت،,4.65
4440,044027,و نعمتهای فراوان دیگر که در آن (غرق) بودند!,4.389
4442,044029,نه آسمان بر آنان گریست و نه زمین، و نه به آنها مهلتی داده شد!,5.956
4444,044031,از فرعون که مردی متکبر و از اسرافکاران بود!,5.381
4447,044034,اینها [= مشرکان‌] می‌گویند:,3.553
4448,044035,«مرگ ما جز همان مرگ اول نیست و هرگز برانگیخته نخواهیم شد!,5.747
4453,044040,روز جدایی (حق از باطل) وعده‌گاه همه آنهاست!,5.59
4456,044043,مسلّماً درخت زقّوم...,3.082
4457,044044,غذای گنهکاران است،,2.247
4458,044045,همانند فلز گداخته در شکمها می‌جوشد؛,4.284
4459,044046,جوششی همچون آب سوزان!,3.187
4461,044048,سپس بر سر او از عذاب جوشان بریزید!,4.284
4463,044050,این همان چیزی است که پیوسته در آن تردید می‌کردید!,5.329
4464,044051,(ولی) پرهیزگاران در جایگاه امنی قرار دارند،,5.224
4465,044052,در میان باغها و چشمه‌ها؛,2.873
4474,045002,این کتاب از سوی خداوند عزیز و حکیم نازل شده است!,5.904
4479,045007,وای بر هر دروغگوی گنهکار...,3.344
4511,046002,این کتاب از سوی خداوند عزیز و حکیم نازل شده است!,5.59
4585,048003,و پیروزی شکست‌ناپذیری نصیب تو کند.,4.545
4639,050010,و نخلهای بلندقامت که میوه‌های متراکم دارند؛,5.224
4642,050013,و همچنین قوم عاد و فرعون و قوم لوط،,4.963
4669,050040,و در بخشی از شب او را تسبیح کن، و بعد از سجده‌ها!,5.59
4677,051003,و سوگند به کشتیهایی که به آسانی به حرکت درمی‌آیند،,5.799
4678,051004,و سوگند به فرشتگانی که کارها را تقسیم می‌کنند،,5.224
4679,051005,(آری سوگند به همه اینها) که آنچه به شما وعده شده قطعاً راست است؛,4.441
4680,051006,و بی‌شکّ (رستاخیز) و جزای اعمال واقع‌شدنی است!,5.068
4681,051007,قسم به آسمان که دارای چین و شکنهای زیباست،,5.486
4684,051010,کشته باد دروغگویان (و مرگ بر آنها)!,4.336
4685,051011,همانها که در جهل و غفلت فرو رفته‌اند،,3.605
4686,051012,و پیوسته سؤال می‌کنند: «روز جزا چه موقع است؟!»,5.381
4687,051013,(آری) همان روزی است که آنها را بر آتش می‌سوزانند!,5.486
4691,051017,آنها کمی از شب را می‌خوابیدند،,3.5
4692,051018,و در سحرگاهان استغفار می‌کردند،,3.657
4693,051019,و در اموال آنها حقّی برای سائل و محروم بود!,5.224
4694,051020,و در زمین آیاتی برای جویندگان یقین است،,5.486
4698,051024,آیا خبر مهمانهای بزرگوار ابراهیم به تو رسیده است؟,5.538
4705,051031,(ابراهیم) گفت: «مأموریت شما چیست ای فرستادگان (خدا)؟»,5.642
4706,051032,گفتند: «ما به سوی قوم مجرمی فرستاده شده‌ایم...,4.702
4707,051033,تا بارانی از «سنگ - گِل» بر آنها بفرستیم؛,4.963
4722,051048,و زمین را گستردیم، و چه خوب گستراننده‌ای هستیم!,5.59
4723,051049,و از هر چیز دو جفت آفریدیم، شاید متذکّر شوید!,5.747
4736,052002,و کتابی که نوشته شده،,2.456
4737,052003,در صفحه‌ای گسترده،,2.351
4738,052004,و سوگند به «بیت المعمور»،,2.717
4739,052005,و سقف برافراشته،,2.194
4740,052006,و دریای مملوّ و برافروخته،,3.5
4741,052007,که عذاب پروردگارت واقع می‌شود،,3.814
4742,052008,و چیزی از آن مانع نخواهد بود!,3.605
4744,052010,و کوه‌ها از جا کنده و متحرّک می‌شوند!,5.016
4745,052011,وای در آن روز بر تکذیب‌کنندگان،,4.284
4746,052012,همانها که در سخنان باطل به بازی مشغولند!,4.807
4749,052015,آیا این سحر است یا شما نمی‌بینید؟!,3.971
4764,052030,بلکه آنها می‌گویند: «او شاعری است که ما انتظار مرگش را می‌کشیم!»,5.956
4768,052034,اگر راست می‌گویند سخنی همانند آن بیاورند!,4.702
4769,052035,یا آنها بی هیچ آفریده شده‌اند، یا خود خالق خویشند؟!,5.642
4775,052041,آیا اسرار غیب نزد آنهاست و از روی آن می‌نویسند؟!,4.754
4786,053003,و هرگز از روی هوای نفس سخن نمی‌گوید!,4.702
4787,053004,آنچه می‌گوید چیزی جز وحی که بر او نازل شده نیست!,5.538
4789,053006,همان کس که توانایی فوق العاده دارد؛ او سلطه یافت...,5.538
4790,053007,در حالی که در اُفق اعلی قرار داشت!,4.075
4791,053008,سپس نزدیکتر و نزدیکتر شد...,3.448
4794,053011,قلب (پاک او) در آنچه دید هرگز دروغ نگفت.,4.963
4795,053012,آیا با او درباره آنچه (با چشم خود) دیده مجادله می‌کنید؟!,5.172
4796,053013,و بار دیگر نیز او را مشاهده کرد،,3.866
4797,053014,نزد «سدرة المنتهی»،,2.508
4798,053015,که «جنت المأوی» در آنجاست!,3.03
4801,053018,او پاره‌ای از آیات و نشانه‌های بزرگ پروردگارش را دید!,5.538
4802,053019,به من خبر دهید آیا بتهای «لات» و «عزّی»...,5.016
4803,053020,و «منات» که سوّمین آنهاست (دختران خدا هستند)؟!,5.068
4805,053022,در این صورت این تقسیمی ناعادلانه است!,3.971
4807,053024,یا آنچه انسان تمنّا دارد به آن می‌رسد؟!,3.971
4808,053025,در حالی که آخرت و دنیا از آن خداست!,4.545
4816,053033,آیا دیدی آن کس را که (از اسلام -یا انفاق-) روی گردان شد؟!,5.799
4817,053034,و کمی عطا کرد، و از بیشتر امساک نمود!,4.441
4818,053035,آیا نزد او علم غیب است و می‌بیند (که دیگران می‌توانند گناهان او را بر دوش گیرند)؟!,3.866
4819,053036,یا از آنچه در کتب موسی نازل گردیده با خبر نشده است؟!,5.277
4821,053038,که هیچ کس بار گناه دیگری را بر دوش نمی‌گیرد،,4.754
4822,053039,و اینکه برای انسان بهره‌ای جز سعی و کوشش او نیست،,5.956
4823,053040,و اینکه تلاش او بزودی دیده می‌شود،,3.814
4824,053041,سپس به او جزای کافی داده خواهد شد!,4.284
4826,053043,و اینکه اوست که خنداند و گریاند،,3.918
4827,053044,و اوست که میراند و زنده کرد،,3.866
4828,053045,و اوست که دو زوج نر و مادّه را آفرید...,4.441
4829,053046,از نطفه‌ای هنگامی که خارج می‌شود (و در رحم می‌ریزد)،,3.605
4832,053049,و اینکه اوست پروردگار ستاره «شعرا»!,4.598
4836,053053,و نیز شهرهای زیر و رو شده (قوم لوط) را فرو کوبید،,4.598
4837,053054,سپس آنها را با عذاب سنگین پوشانید!,4.336
4838,053055,(بگو:) در کدام یک از نعمتهای پروردگارت تردید داری؟!,5.433
4839,053056,این (پیامبر) بیم‌دهنده‌ای از بیم‌دهندگان پیشین است!,5.956
4840,053057,آنچه باید نزدیک شود، نزدیک شده است (و قیامت فرامی‌رسد)،,4.075
4841,053058,و هیچ کس جز خدا نمی‌تواند سختیهای آن را برطرف سازد!,5.747
4842,053059,آیا از این سخن تعجّب می‌کنید،,2.508
4843,053060,و می‌خندید و نمی‌گریید،,2.299
4844,053061,و پیوسته در غفلت و هوسرانی به سر می‌برید؟!,4.389
4861,054016,(اکنون بنگرید) عذاب و انذارهای من چگونه بود!,4.963
4866,054021,پس (ببینید) عذاب و انذارهای من چگونه بود!,5.329
4868,054023,طایفه ثمود (نیز) انذارهای الهی را تکذیب کردند،,5.747
4871,054026,ولی فردا می‌فهمند چه کسی دروغگوی هوسباز است!,5.172
4875,054030,پس (بنگرید) عذاب و انذارهای من چگونه بود!,5.016
4878,054033,قوم لوط انذارها(ی پی‌درپی پیامبرشان) را تکذیب کردند؛,4.127
4884,054039,(و گفتیم:) پس بچشید عذاب و انذارهای مرا!,4.859
4889,054044,یا می‌گویند: «ما جماعتی متحّد و نیرومند و پیروزیم»؟!,5.642
4892,054047,مجرمان در گمراهی و شعله‌های آتشند،,4.336
4894,054049,البته ما هر چیز را به اندازه آفریدیم!,4.807
4897,054052,و هر کاری را انجام دادند در نامه‌های اعمالشان ثبت است،,5.904
4898,054053,و هر کار کوچک و بزرگی نوشته شده است.,4.336
4902,055002,قرآن را تعلیم فرمود،,2.612
4903,055003,انسان را آفرید،,2.247
4904,055004,و به او «بیان» را آموخت.,2.926
4905,055005,خورشید و ماه با حساب منظّمی می‌گردند،,4.441
4906,055006,و گیاه و درخت برای او سجده می‌کنند!,4.023
4910,055010,زمین را برای خلایق آفرید،,3.082
4911,055011,که در آن میوه‌ها و نخلهای پرشکوفه است،,4.598
4914,055014,انسان را از گِل خشکیده‌ای همچون سفال آفرید،,5.12
4917,055017,او پروردگار دو مشرق و پروردگار دو مغرب است!,5.59
4918,055018,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.329
4920,055020,در میان آن دو برزخی است که یکی بر دیگری غلبه نمی‌کند (و به هم نمی‌آمیزند)!,5.59
4921,055021,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.381
4922,055022,از آن دو، لؤلؤ و مرجان خارج می‌شود.,3.918
4923,055023,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.12
4925,055025,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.904
4926,055026,همه کسانی که روی آن [= زمین‌] هستند فانی می‌شوند،,5.642
4932,055032,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.486
4934,055034,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.851
4938,055038,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.747
4942,055042,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.956
4943,055043,این همان دوزخی است که مجرمان آن را انکار می‌کردند!,5.224
4944,055044,امروز در میان آن و آب سوزان در رفت و آمدند!,5.799
4947,055047,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.433
4949,055049,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.799
4950,055050,در آنها دو چشمه همیشه جاری است!,3.709
4951,055051,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.904
4953,055053,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.799
4957,055057,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.747
4958,055058,آنها همچون یاقوت و مرجانند!,3.814
4959,055059,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.486
4960,055060,آیا جزای نیکی جز نیکی است؟!,3.814
4961,055061,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.747
4962,055062,و پایین تر از آنها، دو باغ بهشتی دیگر است.,4.911
4963,055063,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.59
4964,055064,هر دو خرّم و سرسبزند!,3.082
4965,055065,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.59
4966,055066,در آنها دو چشمه جوشنده است!,3.866
4967,055067,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.747
4968,055068,در آنها میوه‌های فراوان و درخت خرما و انار است!,5.904
4969,055069,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.433
4971,055071,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.799
4972,055072,حوریانی که در خیمه‌های بهشتی مستورند!,4.545
4973,055073,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.799
4974,055074,هیچ انس و جنّ پیش از ایشان با آنها تماس نگرفته (و دوشیزه‌اند)!,5.12
4975,055075,پس کدامین نعمتهای پروردگارتان را انکار می‌کنید؟!,5.433
4980,056002,هیچ کس نمی‌تواند آن را انکار کند!,3.866
4982,056004,در آن هنگام که زمین بشدّت به لرزه درمی‌آید،,5.068
4983,056005,و کوه‌ها در هم کوبیده می‌شود،,3.239
4984,056006,و بصورت غبار پراکنده درمی‌آید،,3.866
4985,056007,و شما سه گروه خواهید بود!,3.918
4988,056010,و (سومین گروه) پیشگامان پیشگامند،,5.381
4989,056011,آنها مقرّبانند!,2.09
4990,056012,در باغهای پرنعمت بهشت (جای دارند)!,4.284
4991,056013,گروه زیادی (از آنها) از امّتهای نخستینند،,4.598
4992,056014,و اندکی از امّت آخرین!,2.926
4994,056016,در حالی که بر آن تکیه زده و رو به روی یکدیگرند!,5.381
4995,056017,نوجوانانی جاودان (در شکوه و طراوت) پیوسته گرداگرد آنان می‌گردند،,5.956
4998,056020,و میوه‌هایی از هر نوع که انتخاب کنند،,4.232
4999,056021,و گوشت پرنده از هر نوع که مایل باشند!,4.65
5000,056022,و همسرانی از حور العین دارند،,3.657
5001,056023,همچون مروارید در صدف پنهان!,3.5
5002,056024,اینها پاداشی است در برابر اعمالی که انجام می‌دادند!,5.538
5004,056026,تنها چیزی که می‌شنوند «سلام» است «سلام»!,5.381
5006,056028,آنها در سایه درختان «سِدر» بی‌خار قرار دارند،,5.747
5007,056029,و در سایه درخت «طلح» پربرگ [= درختی خوشرنگ و خوشبو]،,5.904
5008,056030,و سایه کشیده و گسترده،,2.821
5009,056031,و در کنار آبشارها،,2.456
5010,056032,و میوه‌های فراوان،,2.351
5011,056033,که هرگز قطع و ممنوع نمی‌شود،,3.814
5012,056034,و همسرانی بلندمرتبه!,2.612
5013,056035,ما آنها را آفرینش نوینی بخشیدیم،,4.232
5014,056036,و همه را دوشیزه قرار دادیم،,2.873
5016,056038,اینها همه برای اصحاب یمین است،,3.657
5017,056039,که گروهی از امّتهای نخستینند،,2.926
5018,056040,و گروهی از امّتهای آخرین!,3.135
5021,056043,و در سایه دودهای متراکم و آتشزا!,3.762
5022,056044,سایه‌ای که نه خنک است و نه آرامبخش!,4.65
5024,056046,و بر گناهان بزرگ اصرار می‌ورزیدند،,4.389
5026,056048,یا نیاکان نخستین ما (برانگیخته می‌شوند)؟!»,4.493
5027,056049,بگو: «اوّلین و آخرین،,3.448
5028,056050,همگی در موعد روز معیّنی گردآوری می‌شوند،,5.486
5029,056051,سپس شما ای گمراهان تکذیب‌کننده!,4.336
5030,056052,قطعاً از درخت زقّوم می‌خورید،,3.553
5031,056053,و شکمها را از آن پر می‌کنید،,3.187
5032,056054,و روی آن از آب سوزان می‌نوشید،,3.814
5034,056056,این است وسیله پذیرایی از آنها در قیامت!,4.963
5036,056058,آیا از نطفه‌ای که در رحم می‌ریزید آگاهید؟!,4.545
5037,056059,آیا شما آن را (در دوران جنینی) آفرینش (پی در پی) می‌دهید یا ما آفریدگاریم؟!,5.799
5041,056063,آیا هیچ درباره آنچه کشت می‌کنید اندیشیده‌اید؟!,5.277
5042,056064,آیا شما آن را می‌رویانید یا ما می‌رویانیم؟!,4.493
5044,056066,(بگونه‌ای که بگویید:) براستی ما زیان کرده‌ایم،,4.389
5045,056067,بلکه ما بکلّی محرومیم!,2.978
5046,056068,آیا به آبی که می‌نوشید اندیشیده‌اید؟!,4.389
5049,056071,آیا درباره آتشی که می‌افروزید فکر کرده‌اید؟!,4.807
5050,056072,آیا شما درخت آن را آفریده‌اید یا ما آفریده‌ایم؟!,5.016
5054,056076,و این سوگندی است بسیار بزرگ، اگر بدانید!,5.329
5055,056077,که آن، قرآن کریمی است،,3.344
5056,056078,که در کتاب محفوظی جای دارد،,3.605
5057,056079,و جز پاکان نمی‌توانند به آن دست زنند [= دست یابند].,4.754
5058,056080,آن از سوی پروردگار عالمیان نازل شده؛,4.545
5059,056081,آیا این سخن را [= این قرآن را با اوصافی که گفته شد] سست و کوچک می‌شمرید،,4.389
5063,056085,و ما از شما به او نزدیکتریم ولی نمی‌بینید!,5.747
5065,056087,پس آن (روح) را بازگردانید اگر راست می‌گویید!,4.441
5066,056088,پس اگر او از مقرّبان باشد،,3.448
5067,056089,در رَوح و ریحان و بهشت پرنعمت است!,4.336
5068,056090,امّا اگر از اصحاب یمین باشد،,4.075
5070,056092,امّا اگر او از تکذیب‌کنندگان گمراه باشد،,5.224
5071,056093,با آب جوشان دوزخ از او پذیرایی می‌شوید!,5.016
5072,056094,و سرنوشت او ورود در آتش جهنّم است،,4.493
5073,056095,این مطلب حقّ و یقین است!,3.187
5272,068002,که به نعمت پروردگارت تو مجنون نیستی،,4.702
5273,068003,و برای تو پاداشی عظیم و همیشگی است!,4.441
5274,068004,و تو اخلاق عظیم و برجسته‌ای داری!,4.023
5275,068005,و بزودی تو می‌بینی و آنان نیز می‌بینند،,4.336
5276,068006,که کدام یک از شما مجنونند!,3.082
5278,068008,حال که چنین است از تکذیب‌کنندگان اطاعت مکن!,5.277
5288,068018,و هیچ از آن استثنا نکنند؛,3.03
5290,068020,و آن باغ سرسبز همچون شب سیاه و ظلمانی شد!,5.695
5291,068021,صبحگاهان یکدیگر را صدا زدند،,3.605
5293,068023,آنها حرکت کردند در حالی که آهسته با هم می‌گفتند:»,5.538
5294,068024,«مواظب باشید امروز حتی یک فقیر وارد بر شما نشود!»,5.486
5297,068027,(آری، همه چیز از دست ما رفته) بلکه ما محرومیم!»,5.904
5300,068030,سپس رو به یکدیگر کرده به ملامت هم پرداختند،,5.59
5305,068035,آیا مؤمنان را همچون مجرمان قرار می‌دهیم؟!,4.232
5306,068036,شما را چه می‌شود؟! چگونه داوری می‌کنید؟!,4.441
5307,068037,آیا کتابی دارید که از آن درس می‌خوانید...,3.605
5308,068038,که آنچه را شما انتخاب می‌کنید از آن شماست؟!,4.389
5317,068047,یا اسرار غیب نزد آنهاست و آن را می‌نویسند (و به یکدیگر می‌دهند)؟!,4.545
5320,068050,ولی پروردگارش او را برگزید و از صالحان قرار داد!,5.851
5324,069002,چه روز واقع شدنی!,2.299
5325,069003,و تو چه می‌دانی آن روز واقع شدنی چیست؟!,4.441
5327,069005,امّا قوم «ثمود» با عذابی سرکش هلاک شدند!,5.642
5330,069008,آیا کسی از آنها را باقی می‌بینی؟!,4.545
5335,069013,به محض اینکه یک بار در «صور» دمیده شود،,4.232
5337,069015,در آن روز «واقعه عظیم» روی می‌دهد،,4.545
5344,069022,در بهشتی عالی،,2.194
5345,069023,که میوه هایش در دسترس است!,2.769
5348,069026,و نمی‌دانستم حساب من چیست!,3.187
5349,069027,ای کاش مرگم فرا می‌رسید!,3.396
5350,069028,مال و ثروتم هرگز مرا بی‌نیاز نکرد،,4.493
5351,069029,قدرت من نیز از دست رفت!»,3.239
5352,069030,او را بگیرید و دربند و زنجیرش کنید!,4.598
5353,069031,سپس او را در دوزخ بیفکنید!,3.396
5354,069032,بعد او را به زنجیری که هفتاد ذراع است ببندید؛,5.851
5355,069033,چرا که او هرگز به خداوند بزرگ ایمان نمی‌آورد،,5.329
5358,069036,و نه طعامی، جز از چرک و خون!,4.127
5359,069037,غذایی که جز خطاکاران آن را نمی‌خورند!,4.65
5360,069038,سوگند به آنچه می‌بینید،,2.926
5361,069039,و آنچه نمی‌بینید،,2.247
5362,069040,که این قرآن گفتار رسول بزرگواری است،,4.702
5363,069041,و گفته شاعری نیست، امّا کمتر ایمان می‌آورید!,5.381
5364,069042,و نه گفته کاهنی، هر چند کمتر متذکّر می‌شوید!,5.799
5365,069043,کلامی است که از سوی پروردگار عالمیان نازل شده است!,5.59
5366,069044,اگر او سخنی دروغ بر ما می‌بست،,4.075
5367,069045,ما او را با قدرت می‌گرفتیم،,2.978
5368,069046,سپس رگ قلبش را قطع می‌کردیم،,4.127
5370,069048,و آن مسلّماً تذکری برای پرهیزگاران است!,5.433
5372,069050,و آن مایه حسرت کافران است!,3.709
5373,069051,و آن یقین خالص است!,3.396
5379,070005,پس صبر جمیل پیشه کن،,3.135
5380,070006,زیرا آنها آن روز را دور می‌بینند،,4.023
5381,070007,و ما آن را نزدیک می‌بینیم!,2.56
5382,070008,همان روز که آسمان همچون فلز گداخته می‌شود،,5.224
5383,070009,و کوه‌ها مانند پشم رنگین متلاشی خواهد بود،,5.433
5384,070010,و هیچ دوست صمیمی سراغ دوستش را نمی‌گیرد!,5.486
5386,070012,و همسر و برادرش را،,2.247
5387,070013,و قبیله‌اش را که همیشه از او حمایت می‌کرد،,4.702
5388,070014,و همه مردم روی زمین را تا مایه نجاتش گردند؛,5.642
5390,070016,دست و پا و پوست سر را می‌کند و می‌برد!,4.441
5391,070017,و کسانی را که به فرمان خدا پشت کردند صدا می‌زند،,5.904
5392,070018,و (همچنین آنها که) اموال را جمع و ذخیره کردند!,5.59
5393,070019,به یقین انسان حریص و کم‌طاقت آفریده شده است،,5.277
5394,070020,هنگامی که بدی به او رسد بیتابی می‌کند،,4.598
5395,070021,و هنگامی که خوبی به او رسد مانع دیگران می‌شود (و بخل می‌ورزد)،,4.963
5396,070022,مگر نمازگزاران،,2.299
5397,070023,آنها که نمازها را پیوسته بجا می‌آورند،,5.068
5398,070024,و آنها که در اموالشان حق معلومی است...,4.023
5399,070025,برای تقاضاکننده و محروم،,3.239
5400,070026,و آنها که به روز جزا ایمان دارند،,4.127
5401,070027,و آنها که از عذاب پروردگارشان بیمناکند،,5.016
5402,070028,چرا که هیچ کس از عذاب پروردگارش در امان نیست،,5.851
5405,070031,و هر کس جز اینها را طلب کند، متجاوز است!,5.172
5406,070032,و آنها که امانتها و عهد خود را رعایت می‌کنند،,5.224
5407,070033,و آنها که با ادای شهادتشان قیام می‌نمایند،,4.807
5408,070034,و آنها که بر نماز مواظبت دارند،,4.598
5409,070035,آنان در باغهای بهشتی (پذیرایی و) گرامی داشته می‌شوند.,5.642
5410,070036,این کافران را چه می‌شود که با سرعت نزد تو می‌آیند...,5.277
5411,070037,از راست و چپ، گروه گروه (و آرزوی بهشت دارند)!,5.851
5424,071006,امّا دعوت من چیزی جز فرار از حقّ بر آنان نیفزود!,5.642
5426,071008,سپس من آنها را با صدای بلند (به اطاعت فرمان تو) دعوت کردم،,4.859
5431,071013,چرا شما برای خدا عظمت قائل نیستید؟!,4.963
5438,071020,تا از راههای وسیع و دره‌های آن بگذرید (و به هر جا می‌خواهید بروید)!»,4.754
5440,071022,و (این رهبران گمراه) مکر عظیمی به کار بردند...,5.224
5461,072015,و امّا ظالمان آتشگیره و هیزم دوزخند!,5.799
5476,073002,شب را، جز کمی، بپاخیز!,3.135
5477,073003,نیمی از شب را، یا کمی از آن کم کن،,4.598
5481,073007,و تو در روز تلاش مستمر و طولانی خواهی داشت!,5.12
5482,073008,و نام پروردگارت را یاد کن و تنها به او دل ببند!,5.851
5486,073012,که نزد ما غل و زنجیرها و (آتش) دوزخ است،,4.754
5487,073013,و غذایی گلوگیر، و عذابی دردناک،,4.598
5496,074002,برخیز و انذار کن (و عالمیان را بیم ده)،,2.456
5497,074003,و پروردگارت را بزرگ بشمار،,3.5
5498,074004,و لباست را پاک کن،,2.56
5499,074005,و از پلیدی دوری کن،,3.03
5500,074006,و منّت مگذار و فزونی مطلب،,4.284
5501,074007,و بخاطر پروردگارت شکیبایی کن!,4.284
5502,074008,هنگامی که در «صور» دمیده شود،,3.135
5503,074009,آن روز، روز سختی است،,2.926
5504,074010,و برای کافران آسان نیست!,3.239
5506,074012,همان کسی که برای او مال گسترده‌ای قرار دادم،,4.598
5507,074013,و فرزندانی که همواره نزد او (و در خدمت او) هستند،,4.023
5508,074014,و وسایل زندگی را از هر نظر برای وی فراهم ساختم!,5.538
5509,074015,باز هم طمع دارد که بر او بیفزایم!,3.605
5515,074021,سپس نگاهی افکند،,2.456
5516,074022,بعد چهره درهم کشید و عجولانه دست به کار شد؛,4.754
5517,074023,سپس پشت (به حقّ) کرد و تکبّر ورزید،,4.598
5519,074025,این فقط سخن انسان است (نه گفتار خدا)!»,4.075
5520,074026,(امّا) بزودی او را وارد سَقَر [= دوزخ‌] می‌کنم!,5.642
5521,074027,و تو نمی‌دانی «سقر» چیست!,2.717
5523,074029,پوست تن را بکلّی دگرگون می‌کند!,4.023
5526,074032,اینچنین نیست که آنها تصوّر می‌کنند سوگند به ماه،,3.866
5527,074033,و به شب، هنگامی که (دامن برچیند و) پشت کند،,5.016
5528,074034,و به صبح هنگامی که چهره بگشاید،,4.075
5529,074035,که آن (حوادث هولناک قیامت) از مسائل مهم است!,5.851
5530,074036,هشدار و انذاری است برای همه انسانها،,4.232
5532,074038,(آری) هر کس در گرو اعمال خویش است،,4.075
5534,074040,آنها در باغهای بهشتند، و سؤال می‌کنند...,5.172
5535,074041,از مجرمان:,1.463
5536,074042,چه چیز شما را به دوزخ وارد ساخت؟!»,2.978
5537,074043,می‌گویند: «ما از نمازگزاران نبودیم،,4.232
5538,074044,و اطعام مستمند نمی‌کردیم،,3.03
5539,074045,و پیوسته با اهل باطل همنشین و همصدا بودیم،,4.702
5540,074046,و همواره روز جزا را انکار می‌کردیم،,3.866
5541,074047,تا زمانی که مرگ ما فرا رسید!»,3.187
5543,074049,چرا آنها از تذکّر روی گردانند؟!,3.709
5544,074050,گویی گورخرانی رمیده‌اند،,3.448
5545,074051,که از (مقابل) شیری فرار کرده‌اند!,3.344
5547,074053,چنین نیست که آنان می‌گویند، بلکه آنها از آخرت نمی‌ترسند!,4.963
5548,074054,چنین نیست که آنها می‌گویند، آن (قرآن) یک تذکّر و یادآوری است!,5.538
5549,074055,هر کس بخواهد از آن پند می‌گیرد؛,3.814
5556,075006,(از این رو) می‌پرسد: «قیامت کی خواهد بود»!,4.389
5558,075008,و ماه بی‌نور گردد،,2.717
5559,075009,و خورشید و ماه یک جا جمع شوند،,4.023
5560,075010,آن روز انسان می‌گوید: «راه فرار کجاست؟!»,4.911
5562,075012,آن روز قرارگاه نهایی تنها بسوی پروردگار تو است؛,5.956
5564,075014,بلکه انسان خودش از وضع خود آگاه است،,4.232
5565,075015,هر چند (در ظاهر) برای خود عذرهایی بتراشد!,3.918
5567,075017,چرا که جمع‌کردن و خواندن آن بر عهده ماست!,4.598
5568,075018,پس هر گاه آن را خواندیم، از خواندن آن پیروی کن!,5.486
5569,075019,سپس بیان و (توضیح) آن (نیز) بر عهده ماست!,5.538
5571,075021,و آخرت را رها می‌کنید!,2.821
5572,075022,(آری) در آن روز صورتهایی شاداب و مسرور است،,5.381
5573,075023,و به پروردگارش می‌نگرد!,2.456
5574,075024,و در آن روز صورتهایی عبوس و در هم کشیده است،,4.807
5578,075028,و به جدائی از دنیا یقین پیدا کند،,3.762
5579,075029,و ساق پاها (از سختی جان‌دادن) به هم بپیچد!,5.329
5582,075032,بلکه تکذیب کرد و روی‌گردان شد،,3.03
5586,075036,آیا انسان گمان می‌کند بی‌هدف رها می‌شود؟!,4.232
5587,075037,آیا او نطفه‌ای از منی که در رحم ریخته می‌شود نبود؟!,5.904
5589,075039,و از او دو زوج مرد و زن آفرید!,4.232
5590,075040,آیا چنین کسی قادر نیست که مردگان را زنده کند؟!,5.851
5608,076018,از چشمه‌ای در بهشت که نامش سلسبیل است!,4.441
5613,076023,مسلّماً ما قرآن را بر تو نازل کردیم!,4.441
5623,077002,و آنها که همچون تند باد حرکت می‌کنند،,4.127
5624,077003,و سوگند به آنها که (ابرها را) می‌گسترانند،,5.433
5625,077004,و آنها که جدا می‌کنند،,3.082
5627,077006,برای اتمام حجّت یا برای انذار،,4.441
5629,077008,در آن هنگام که ستارگان محو و تاریک شوند،,5.224
5630,077009,و (کرات) آسمان از هم بشکافند،,4.336
5631,077010,و در آن زمان که کوه‌ها از جا کنده شوند،,4.598
